file,class,lcom*
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodFormatException.java,org.jfree.data.time.TimePeriodFormatException,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,org.jfree.chart.plot.dial.DialPlot,0.8670635
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/legend/LegendItemSource.java,org.jfree.chart.legend.LegendItemSource,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/MouseWheelHandler.java,org.jfree.chart.swing.MouseWheelHandler,0.3
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYDifferenceRenderer.java,org.jfree.chart.renderer.xy.XYDifferenceRenderer,0.81333333
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/TextBlock.java,org.jfree.chart.text.TextBlock,0.7142857
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/Axis.java,org.jfree.chart.axis.Axis,0.95451766
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java,org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,0.5833333
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/CrosshairOverlay.java,org.jfree.chart.swing.CrosshairOverlay,0.65
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/Size2D.java,org.jfree.chart.block.Size2D,0.59999996
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/BlockBorder.java,org.jfree.chart.block.BlockBorder,0.72727275
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,org.jfree.chart.annotations.XYImageAnnotation,0.6666666
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/UIUtils.java,org.jfree.chart.swing.UIUtils,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYAnnotation.java,org.jfree.chart.annotations.XYAnnotation,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultWindDataset.java,org.jfree.data.xy.WindDataItem,0.44444445
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/CyclicXYItemRenderer.java,org.jfree.chart.renderer.xy.CyclicXYItemRenderer,1.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/imagemap/ImageMapUtils.java,org.jfree.chart.imagemap.ImageMapUtils,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYBarRenderer.java,org.jfree.chart.renderer.xy.XYBarRenderer$XYBarRendererState,0.33333334
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/util/ShadowGenerator.java,org.jfree.chart.util.ShadowGenerator,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/statistics/Regression.java,org.jfree.data.statistics.Regression,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/util/DirectionalGradientPaintTransformer.java,org.jfree.chart.util.DirectionalGradientPaintTransformer,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/Second.java,org.jfree.data.time.Second,0.7
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/YIntervalDataItem.java,org.jfree.data.xy.YIntervalDataItem,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/XIntervalSeries.java,org.jfree.data.xy.XIntervalSeries,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,org.jfree.chart.labels.IntervalXYToolTipGenerator,0.9
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/DatasetRenderingOrder.java,org.jfree.chart.plot.DatasetRenderingOrder,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/RendererChangeListener.java,org.jfree.chart.event.RendererChangeListener,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,org.jfree.chart.plot.CombinedRangeCategoryPlot,0.7380953
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/FlowArrangement.java,org.jfree.chart.block.FlowArrangement,0.82857144
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/XYIntervalSeries.java,org.jfree.data.xy.XYIntervalSeries,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/KeyedValues.java,org.jfree.data.KeyedValues,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/StandardCategoryToolTipGenerator.java,org.jfree.chart.labels.StandardCategoryToolTipGenerator,0.9166666
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/title/CompositeTitle.java,org.jfree.chart.title.CompositeTitle,0.6666667
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/TitleChangeListener.java,org.jfree.chart.event.TitleChangeListener,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/TextMeasurer.java,org.jfree.chart.text.TextMeasurer,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/encoders/ImageFormat.java,org.jfree.chart.encoders.ImageFormat,NaN
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/ChartElementVisitor.java,org.jfree.chart.ChartElementVisitor,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xml/ValueHandler.java,org.jfree.data.xml.ValueHandler,0.5
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYAreaRenderer2.java,org.jfree.chart.renderer.xy.XYAreaRenderer2,0.6666667
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/internal/CloneUtils.java,org.jfree.chart.internal.CloneUtils,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/json/JSONUtils.java,org.jfree.data.json.JSONUtils,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/format/HMSNumberFormat.java,org.jfree.chart.text.format.HMSNumberFormat,0.75
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/imagemap/StandardURLTagFragmentGenerator.java,org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/PolarItemRenderer.java,org.jfree.chart.renderer.PolarItemRenderer,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/XYZDataset.java,org.jfree.data.xy.XYZDataset,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/AreaRendererEndType.java,org.jfree.chart.renderer.AreaRendererEndType,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/statistics/MultiValueCategoryDataset.java,org.jfree.data.statistics.MultiValueCategoryDataset,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/DatasetChangeListener.java,org.jfree.data.general.DatasetChangeListener,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/YIntervalSeries.java,org.jfree.data.xy.YIntervalSeries,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/gantt/TaskSeries.java,org.jfree.data.gantt.TaskSeries,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/TitleChangeEvent.java,org.jfree.chart.event.TitleChangeEvent,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/date/MonthConstants.java,org.jfree.chart.date.MonthConstants,NaN
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/resources/DataPackageResources_fr.java,org.jfree.data.resources.DataPackageResources_fr,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/legend/PaintScaleLegend.java,org.jfree.chart.legend.PaintScaleLegend,0.8150471
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/WaterfallBarRenderer.java,org.jfree.chart.renderer.category.WaterfallBarRenderer,0.68
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/DialPointer.java,org.jfree.chart.plot.dial.DialPointer,0.55
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/EmptyBlock.java,org.jfree.chart.block.EmptyBlock,1.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java,org.jfree.chart.axis.CyclicNumberAxis$CycleBoundTick,0.0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/statistics/SimpleHistogramBin.java,org.jfree.data.statistics.SimpleHistogramBin,0.5694444
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/api/Rotation.java,org.jfree.chart.api.Rotation,0.0
