file,class,rfc
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/AttributedStringUtils.java,org.jfree.chart.text.AttributedStringUtils,6
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/DateTick.java,org.jfree.chart.axis.DateTick,5
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultHighLowDataset.java,org.jfree.data.xy.DefaultHighLowDataset,11
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/entity/XYAnnotationEntity.java,org.jfree.chart.entity.XYAnnotationEntity,1
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/TimePeriodFormatException.java,org.jfree.data.time.TimePeriodFormatException,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/DialPlot.java,org.jfree.chart.plot.dial.DialPlot,62
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/legend/LegendItemSource.java,org.jfree.chart.legend.LegendItemSource,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/MouseWheelHandler.java,org.jfree.chart.swing.MouseWheelHandler,18
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYDifferenceRenderer.java,org.jfree.chart.renderer.xy.XYDifferenceRenderer,83
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/TextBlock.java,org.jfree.chart.text.TextBlock,17
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/Axis.java,org.jfree.chart.axis.Axis,84
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/StatisticalLineAndShapeRenderer.java,org.jfree.chart.renderer.category.StatisticalLineAndShapeRenderer,56
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/CrosshairOverlay.java,org.jfree.chart.swing.CrosshairOverlay,74
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/Size2D.java,org.jfree.chart.block.Size2D,2
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/BlockBorder.java,org.jfree.chart.block.BlockBorder,18
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYImageAnnotation.java,org.jfree.chart.annotations.XYImageAnnotation,24
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/swing/UIUtils.java,org.jfree.chart.swing.UIUtils,23
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/annotations/XYAnnotation.java,org.jfree.chart.annotations.XYAnnotation,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/DefaultWindDataset.java,org.jfree.data.xy.WindDataItem,2
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/CyclicXYItemRenderer.java,org.jfree.chart.renderer.xy.CyclicXYItemRenderer,8
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/imagemap/ImageMapUtils.java,org.jfree.chart.imagemap.ImageMapUtils,17
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYBarRenderer.java,org.jfree.chart.renderer.xy.XYBarRenderer$XYBarRendererState,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/util/ShadowGenerator.java,org.jfree.chart.util.ShadowGenerator,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/statistics/Regression.java,org.jfree.data.statistics.Regression,10
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/util/DirectionalGradientPaintTransformer.java,org.jfree.chart.util.DirectionalGradientPaintTransformer,12
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/Second.java,org.jfree.data.time.Second,30
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/YIntervalDataItem.java,org.jfree.data.xy.YIntervalDataItem,5
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/XIntervalSeries.java,org.jfree.data.xy.XIntervalSeries,8
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/IntervalXYToolTipGenerator.java,org.jfree.chart.labels.IntervalXYToolTipGenerator,24
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/DatasetRenderingOrder.java,org.jfree.chart.plot.DatasetRenderingOrder,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/RendererChangeListener.java,org.jfree.chart.event.RendererChangeListener,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/CombinedRangeCategoryPlot.java,org.jfree.chart.plot.CombinedRangeCategoryPlot,74
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/FlowArrangement.java,org.jfree.chart.block.FlowArrangement,30
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/XYIntervalSeries.java,org.jfree.data.xy.XYIntervalSeries,10
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/KeyedValues.java,org.jfree.data.KeyedValues,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/labels/StandardCategoryToolTipGenerator.java,org.jfree.chart.labels.StandardCategoryToolTipGenerator,3
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/title/CompositeTitle.java,org.jfree.chart.title.CompositeTitle,24
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/TitleChangeListener.java,org.jfree.chart.event.TitleChangeListener,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/TextMeasurer.java,org.jfree.chart.text.TextMeasurer,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/encoders/ImageFormat.java,org.jfree.chart.encoders.ImageFormat,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/ChartElementVisitor.java,org.jfree.chart.ChartElementVisitor,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xml/ValueHandler.java,org.jfree.data.xml.ValueHandler,11
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/xy/XYAreaRenderer2.java,org.jfree.chart.renderer.xy.XYAreaRenderer2,64
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/internal/CloneUtils.java,org.jfree.chart.internal.CloneUtils,13
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/json/JSONUtils.java,org.jfree.data.json.JSONUtils,13
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/text/format/HMSNumberFormat.java,org.jfree.chart.text.format.HMSNumberFormat,3
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/imagemap/StandardURLTagFragmentGenerator.java,org.jfree.chart.imagemap.StandardURLTagFragmentGenerator,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/PolarItemRenderer.java,org.jfree.chart.renderer.PolarItemRenderer,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/XYZDataset.java,org.jfree.data.xy.XYZDataset,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/AreaRendererEndType.java,org.jfree.chart.renderer.AreaRendererEndType,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/statistics/MultiValueCategoryDataset.java,org.jfree.data.statistics.MultiValueCategoryDataset,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/general/DatasetChangeListener.java,org.jfree.data.general.DatasetChangeListener,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/YIntervalSeries.java,org.jfree.data.xy.YIntervalSeries,8
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/gantt/TaskSeries.java,org.jfree.data.gantt.TaskSeries,15
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/TitleChangeEvent.java,org.jfree.chart.event.TitleChangeEvent,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/date/MonthConstants.java,org.jfree.chart.date.MonthConstants,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/resources/DataPackageResources_fr.java,org.jfree.data.resources.DataPackageResources_fr,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/legend/PaintScaleLegend.java,org.jfree.chart.legend.PaintScaleLegend,66
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/renderer/category/WaterfallBarRenderer.java,org.jfree.chart.renderer.category.WaterfallBarRenderer,47
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/plot/dial/DialPointer.java,org.jfree.chart.plot.dial.DialPointer,4
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/block/EmptyBlock.java,org.jfree.chart.block.EmptyBlock,11
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/CyclicNumberAxis.java,org.jfree.chart.axis.CyclicNumberAxis$CycleBoundTick,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/statistics/SimpleHistogramBin.java,org.jfree.data.statistics.SimpleHistogramBin,3
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/api/Rotation.java,org.jfree.chart.api.Rotation,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/event/ChartChangeEventType.java,org.jfree.chart.event.ChartChangeEventType,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/api/TableOrder.java,org.jfree.chart.api.TableOrder,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/time/Millisecond.java,org.jfree.data.time.Millisecond,27
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/axis/ExtendedCategoryAxis.java,org.jfree.chart.axis.ExtendedCategoryAxis,17
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/chart/util/GradientPaintTransformType.java,org.jfree.chart.util.GradientPaintTransformType,0
/home/xavlap/Documents/A22/IFT3913/IFT3913TP2/src/jfreechart-master/src/main/java/org/jfree/data/xy/YisSymbolic.java,org.jfree.data.xy.YisSymbolic,0
